Time, FPS
1,7.375951766967773
2,8.82132625579834
3,10.305025100708008
4,12.291640281677246
5,14.699973106384277
6,16.537214279174805
7,19.1093692779541
8,22.124942779541016
9,25.278915405273438
10,28.62566375732422
11,31.981672286987305
12,35.26313018798828
13,38.454586029052734
14,41.21590042114258
15,44.206172943115234
16,46.63566970825195
17,41.780670166015625
18,44.708892822265625
19,46.99799728393555
20,49.1370735168457
21,50.794517517089844
22,52.777957916259766
23,45.75749206542969
24,47.71556854248047
25,50.096107482910156
26,51.850711822509766
27,45.24772644042969
28,47.59043884277344
29,49.53032302856445
30,51.410404205322266
31,44.71735763549805
32,47.49074172973633
33,49.570865631103516
34,43.803768157958984
35,46.286563873291016
36,48.53105163574219
37,50.481998443603516
38,44.394798278808594
39,46.83523941040039
40,48.944828033447266
41,50.64766311645508
42,44.404762268066406
43,47.186058044433594
44,49.29512023925781
45,38.092506408691406
46,40.953208923339844
47,38.31789016723633
48,41.25494384765625
49,44.02092742919922
50,46.44295883178711
51,41.90345764160156
52,44.62635040283203
53,46.90269470214844
54,42.20038604736328
55,44.870826721191406
56,47.255374908447266
57,49.38004684448242
58,51.200408935546875
59,44.8096809387207
60,47.28559875488281
61,49.29547882080078
62,51.19295120239258
63,44.877349853515625
64,47.22208023071289
65,49.29670333862305
66,43.46356201171875
67,46.22308349609375
68,48.466575622558594
69,50.402957916259766
70,52.16872024536133
71,45.43429183959961
72,47.7197151184082
73,49.80312728881836
74,43.89787673950195
75,46.38197708129883
76,48.618953704833984
77,43.27146911621094
78,45.79320526123047
79,48.13376998901367
80,42.67473602294922
81,45.41582489013672
82,47.92402648925781
83,42.76715087890625
84,45.37997055053711
85,47.72904586791992
86,49.769813537597656
87,51.61420822143555
88,44.519020080566406
89,47.50437927246094
90,49.64799118041992
91,51.121131896972656
92,44.749916076660156
93,47.41543197631836
94,49.46653747558594
95,43.81965255737305
96,46.333404541015625
97,48.214759826660156
98,50.489295959472656
99,51.85582733154297
100,53.725128173828125
101,46.35034942626953
102,41.739501953125
103,43.31502151489258
104,47.21178436279297
105,49.34115219116211
106,51.117332458496094
107,44.794673919677734
108,46.692501068115234
109,49.41927719116211
110,43.732784271240234
111,46.26939392089844
112,48.140045166015625
113,50.492637634277344
114,44.09918212890625
115,46.928279876708984
116,49.04878616333008
117,43.406761169433594
118,46.097713470458984
119,41.598323822021484
120,44.31093215942383
121,46.749935150146484
122,48.862892150878906
123,50.73992919921875
124,52.512882232666016
125,45.602787017822266
126,47.93941116333008
127,49.93635177612305
128,43.970577239990234
129,46.5574951171875
130,48.77988815307617
131,50.67045211791992
132,44.462467193603516
133,46.65852737426758
134,48.966365814208984
135,43.56707763671875
136,45.88552474975586
137,48.394351959228516
138,50.398963928222656
139,44.26255416870117
140,46.858394622802734
141,42.064456939697266
142,44.52203369140625
143,47.17965316772461
144,49.30755615234375
145,51.200828552246094
146,44.48250198364258
147,47.28993225097656
148,49.33345031738281
149,51.19527053833008
150,44.30192184448242
151,47.317283630371094
152,48.87001419067383
153,43.8336181640625
154,46.3560791015625
155,48.551597595214844
156,50.44617462158203
157,44.3943977355957
158,46.89540100097656
159,49.04972839355469
160,43.5321044921875
161,46.01594924926758
162,48.31791305541992
163,50.2072639465332
164,51.90232467651367
165,53.42485427856445
166,46.191749572753906
167,48.414459228515625
168,50.290584564208984
169,52.05057907104492
170,53.478973388671875
171,54.62657165527344
172,46.655494689941406
173,49.089359283447266
174,50.99726867675781
175,52.559513092041016
176,45.71084976196289
177,47.86276626586914
178,49.98261642456055
179,43.60836410522461
180,46.03746795654297
181,48.91068649291992
182,50.877288818359375
183,44.658756256103516
184,47.070457458496094
185,49.236507415771484
186,43.62675857543945
187,46.157958984375
188,48.38227081298828
189,50.344825744628906
190,44.27503967285156
191,46.76913833618164
192,48.902103424072266
193,50.69380187988281
194,44.609989166259766
195,47.05502700805664
196,49.12501907348633
197,43.333045959472656
198,45.94935607910156
199,48.48386001586914
200,50.430118560791016
201,44.341705322265625
202,46.76874542236328
203,48.953208923339844
204,50.89622116088867
205,44.61557388305664
206,47.0147819519043
207,49.19005584716797
208,51.041751861572266
209,44.73176956176758
210,47.143062591552734
211,49.30802536010742
212,43.35591125488281
213,46.18206787109375
214,48.45997619628906
215,50.384971618652344
216,44.23479461669922
217,46.80121612548828
218,48.924522399902344
219,50.84608459472656
220,44.682273864746094
221,47.079376220703125
222,48.90235137939453
223,43.61201095581055
224,46.137210845947266
225,48.413429260253906
226,50.41072082519531
227,44.31953811645508
228,46.78191375732422
229,48.96439743041992
230,50.787906646728516
231,44.589088439941406
232,46.98124313354492
233,42.192588806152344
234,44.90727996826172
235,47.208885192871094
236,49.29066467285156
237,51.294315338134766
238,44.52412796020508
239,47.287254333496094
240,49.38093185424805
241,43.739402770996094
242,46.28525161743164
243,48.417579650878906
244,50.47964096069336
245,44.36699676513672
246,46.84571075439453
247,49.02602767944336
248,43.40106964111328
249,39.869544982910156
250,42.725223541259766
251,45.395179748535156
252,47.71479415893555
253,49.70602035522461
254,51.45379638671875
255,53.08782196044922
256,45.12630844116211
257,48.39530944824219
258,50.38331604003906
259,44.29970932006836
260,46.73720932006836
261,48.9093132019043
262,50.832942962646484
263,44.6338005065918
264,47.05521774291992
265,48.59319305419922
266,51.13013458251953
267,44.65665054321289
268,47.246543884277344
269,49.363040924072266
270,43.67411804199219
271,46.17916488647461
272,48.4625358581543
273,50.39999008178711
274,44.32307052612305
275,46.76165771484375
276,48.609676361083984
277,43.5120735168457
278,45.93561935424805
279,48.354244232177734
280,50.28920364379883
281,44.044395446777344
282,46.75825881958008
283,48.93912887573242
284,43.428524017333984
285,45.972103118896484
286,48.28139877319336
287,50.20705795288086
288,44.20967483520508
289,46.40286636352539
290,48.971195220947266
291,43.336788177490234
292,45.505313873291016
293,48.35236740112305
294,50.38676834106445
295,44.326141357421875
296,46.29345703125
297,48.7568359375
298,50.96467590332031
299,44.6756591796875
300,47.103431701660156
301,42.064823150634766
302,45.00535583496094
303,47.40133285522461
304,42.45561981201172
305,45.035499572753906
306,47.46986389160156
307,49.53696823120117
308,51.348915100097656
309,44.94053649902344
310,47.2988166809082
311,49.364200592041016
312,51.162986755371094
313,44.859493255615234
314,47.202571868896484
315,49.37712860107422
316,51.2052116394043
317,44.38972473144531
318,47.05653381347656
319,49.467769622802734
320,51.30657958984375
321,44.9144401550293
322,47.273738861083984
323,42.151153564453125
324,44.78538513183594
325,47.443016052246094
326,49.549381256103516
327,51.41843032836914
328,44.90150451660156
329,47.3054084777832
330,49.34126281738281
331,43.76649475097656
332,46.00922393798828
333,48.54191207885742
334,50.22578048706055
335,44.37407684326172
336,46.941349029541016
337,49.08000183105469
338,50.89262771606445
339,44.69686508178711
340,47.09217071533203
341,49.23234939575195
342,51.02640151977539
343,44.73950958251953
344,46.992218017578125
345,49.308135986328125
346,43.43000030517578
347,46.19978713989258
348,48.42647933959961
349,50.474586486816406
350,44.354976654052734
351,46.82831954956055
352,48.95787811279297
353,43.23099899291992
354,45.531978607177734
355,48.15740966796875
356,50.40298843383789
357,44.247188568115234
358,46.73860549926758
359,49.058753967285156
360,50.920955657958984
361,38.87736511230469
362,41.59260559082031
363,44.460269927978516
364,46.917999267578125
365,49.12150573730469
366,51.011653900146484
367,44.714210510253906
368,47.158695220947266
369,49.21590805053711
370,43.521915435791016
371,45.917869567871094
372,48.100563049316406
373,50.53780746459961
374,44.447998046875
375,46.870582580566406
376,49.0184440612793
